"date","capacity"
1998-10-25,25
2001-12-18,115
2002-01-16,139
2002-06-18,189
2005-06-28,264
2005-11-25,421
2006-08-10,521
2006-10-04,721
2007-10-05,926
2007-10-15,1150
2007-11-17,1276
2007-11-26,1303
2008-04-29,1399
2008-05-10,1422
2008-06-06,1499
2008-12-07,1602
2009-01-01,1674
2009-01-27,1773
2009-02-12,1874
2009-03-22,1971
2009-05-01,2108
2009-08-06,2257
2009-09-21,2287
2009-11-30,2519
2009-12-16,2618
2010-01-01,2681
2010-01-15,2780
2010-06-06,2830
2010-06-30,2836
2010-08-11,3011
2010-10-08,3061
2010-10-24,3152
2010-11-15,3253
2010-11-29,3262
2010-12-01,3372
2011-02-11,3523
2011-11-20,3788
2012-01-01,3788
2012-02-29,4131
2012-03-11,4421
2012-05-17,4711
2013-03-31,4711
2013-04-01,4615
2013-04-02,4515
2014-12-18,4515
2014-12-19,4782
2017-12-14,4065
2018-07-31,2764
2020-10-08,3064
2020-11-10,2927
2022-01-12,2827
2022-06-21,2827
